Business Name,Address of establishment,Town,Type of cuisine,Average price,Business hours,Average rating,Number of reviews,Date of last rating,Position in the ranking,Minimum Price,Maximum Price,Month,Year Of Rating,Price Range,Rating Label
La Hacienda De Machado,"Avenida de Europa 93, 36212 Vigo Spain", Playa Samil,"Steakhouse, Brazilian, Latin, Barbecue",17.94 - 25.91,"Wed - Mon : 1:00 PM - 4:00 PM
Wed - Sat : 8:00 PM - 11:00 PM",4.5,1078,"January 2, 2022",3,17.94,25.91,January 2, 2022,Average,Excellent
La Cava Aragonesa,"Placa Constitucio s/n Casco viejo - OLD TOWN, 03501 Benidorm Spain", Playa de Levante,"Mediterranean, Spanish, Wine Bar, European, Street Food",2.99 - 59.8,Sun - Sat : 12:00 PM - 12:00 AM,4.0,2267,"January 1, 2022",42,2.99,59.8,January 1, 2022,Cheap,Excellent
Zebu Centro,"Rua do Areal 18, 36201 Vigo Spain", Playa Samil,"Steakhouse, Brazilian, Grill",22.08 - 30.91,"Sun : 1:00 PM - 6:00 PM
Tue - Sat : 1:00 PM - 11:45 PM",5.0,126,"October 31, 2021",1,22.08,30.91,October 31, 2021,Average,Excellent
El Juliana,"Ronda Don Bosco 41 Terraza Mercado del Progreso, 36202 Vigo Spain", Playa Samil,Mediterranean,13.95 - 39.86,"Sun - Sat : 1:00 PM - 5:00 PM
Thu - Sat : 8:00 PM - 12:00 AM",4.0,142,"April 1, 2018",101,13.95,39.86,April 1, 2018,Average,Excellent
Rokuseki,"Rua Canceleiro 24 Downstairs, 36201 Vigo Spain", Playa Samil,"Japanese, Barbecue, Asian, Healthy",44.84 - 99.66,"Thu - Sun : 1:00 PM - 3:30 PM,  7:45 PM - 10:45 PM",4.5,222,"July 13, 2021",4,44.84,99.66,July 13, 2021,Average,Excellent
Os Padróns,"Calle del Escritor Otero Pedrayo 4 Bajo 2, 36211 Vigo Spain", Playa Samil,"Spanish, American, International, Asian, Fusion",9.96 - 14.95,"Tue - Sat : 1:30 PM - 4:30 PM,  8:00 PM - 11:00 PM",5.0,99,"August 14, 2021",6,9.96,14.95,August 14, 2021,Cheap,Excellent
Epoca Restaurante Peruano Fusion,"Calle de Paraguay 10, 36204 Vigo Spain", Playa Samil,"Peruvian, Latin, Fusion, International",0.07 - 0.24,"Sun : 12:00 PM - 5:45 PM
Tue - Sat : 12:00 PM - 4:45 PM,  8:00 PM - 11:45 PM",4.5,541,"December 30, 2021",10,0.07,0.24,December 30, 2021,Cheap,Excellent
Morrofino Taberna,"Serafín Avendaño 4, 36221 Vigo Spain", Playa Samil,"European, Spanish, Contemporary, Fusion",19.93 - 39.86,"Sun : 8:45 PM - 11:00 PM
Wed - Sun : 1:45 PM - 3:45 PM
Wed - Sat : 8:45 PM - 11:45 PM",4.5,170,"September 10, 2021",13,19.93,39.86,September 10, 2021,Average,Excellent
Maruja Limon,"Rua Montero Rios 4, 36201 Vigo Spain", Playa Samil,"Contemporary, Mediterranean, European, Spanish",64.78 - 119.58,"Tue - Sat : 1:00 PM - 4:00 PM,  8:00 PM - 12:00 AM",4.5,695,"September 28, 2021",11,64.78,119.58,September 28, 2021,Average,Excellent
Casa Vella,"Rua Pescaderia 1 Bajo Drcha Ground floor, 36202 Vigo Spain", Playa Samil,"Seafood, Mediterranean, Spanish, Healthy",10.6 - 39.74,"Mon - Tue : 12:00 PM - 4:30 PM,  8:00 PM - 11:30 PM
Thu - Sat : 12:00 PM - 4:30 PM,  8:00 PM - 11:30 PM",4.5,883,"January 2, 2022",14,10.6,39.74,January 2, 2022,Cheap,Excellent
