Business Name,Type of cuisine
La Hacienda De Machado,Steakhouse
La Hacienda De Machado, Brazilian
La Hacienda De Machado, Latin
La Hacienda De Machado, Barbecue
La Cava Aragonesa,Mediterranean
La Cava Aragonesa, Spanish
La Cava Aragonesa, Wine Bar
La Cava Aragonesa, European
La Cava Aragonesa, Street Food
Zebu Centro,Steakhouse
Zebu Centro, Brazilian
Zebu Centro, Grill
El Juliana,Mediterranean
Rokuseki,Japanese
Rokuseki, Barbecue
Rokuseki, Asian
Rokuseki, Healthy
Os Padróns,Spanish
Os Padróns, American
Os Padróns, International
Os Padróns, Asian
Os Padróns, Fusion
Epoca Restaurante Peruano Fusion,Peruvian
Epoca Restaurante Peruano Fusion, Latin
Epoca Restaurante Peruano Fusion, Fusion
Epoca Restaurante Peruano Fusion, International
Morrofino Taberna,European
Morrofino Taberna, Spanish
Morrofino Taberna, Contemporary
Morrofino Taberna, Fusion
Maruja Limon,Contemporary
Maruja Limon, Mediterranean
Maruja Limon, European
Maruja Limon, Spanish
Casa Vella,Seafood
Casa Vella, Mediterranean
Casa Vella, Spanish
Casa Vella, Healthy
Asador Soriano,Steakhouse
Asador Soriano, Mediterranean
Asador Soriano, European
Asador Soriano, Spanish
MalaSangre Food & Club,Spanish
MalaSangre Food & Club, Fusion
MalaSangre Food & Club, Mediterranean
Burrito's,Mexican
Burrito's, Latin
Burrito's, Fusion
Burrito's, South American
Burrito's, Central American
Mijo Minibar,Mediterranean
Mijo Minibar, European
Mijo Minibar, Fusion
Mijo Minibar, International
Kero Cocina Peruana,Peruvian
Kero Cocina Peruana, Latin
Kero Cocina Peruana, Healthy
Ians' Restaurant,Steakhouse
Ians' Restaurant, Seafood
Ians' Restaurant, European
Ians' Restaurant, British
Ians' Restaurant, Healthy
Tepuy Burger,American
Tepuy Burger, Steakhouse
Tepuy Burger, International
Tepuy Burger, Street Food
Tepuy Burger, Venezuelan
ReFuel Bar & Restaurant,British
ReFuel Bar & Restaurant, Bar
ReFuel Bar & Restaurant, Gastropub
Locanda Pau Modern Italian Restaurant,Italian
Locanda Pau Modern Italian Restaurant, International
Locanda Pau Modern Italian Restaurant, Mediterranean
Locanda Pau Modern Italian Restaurant, Seafood
Locanda Pau Modern Italian Restaurant, Healthy
Locanda Pau Modern Italian Restaurant, Neapolitan
Locanda Pau Modern Italian Restaurant, Campania
Locanda Pau Modern Italian Restaurant, Southern-Italian
Paneil's,European
Paneil's, British
Sherpa Restaurante Asiatico,Indian
Sherpa Restaurante Asiatico, Asian
Sherpa Restaurante Asiatico, Thai
Sherpa Restaurante Asiatico, Nepali
The Vagabond,French
The Vagabond, Mediterranean
The Vagabond, European
Paradiso,Steakhouse
Paradiso, International
Paradiso, Mediterranean
Paradiso, European
Paradiso, Healthy
Paradiso, Grill
Amigos Restaurant and Roof Terrace,Steakhouse
Amigos Restaurant and Roof Terrace, International
Amigos Restaurant and Roof Terrace, British
Amigos Restaurant and Roof Terrace, Fusion
Nepali Tandoori Restaurant,Indian
Nepali Tandoori Restaurant, Asian
Nepali Tandoori Restaurant, Balti
Nepali Tandoori Restaurant, Nepali
La Tana,Italian
La Tana, Mediterranean
La Tana, Spanish
La Tana, Healthy
La Tana, European
Localolita Street Food,American
Localolita Street Food, Street Food
Machete Gijón,Spanish
Machete Gijón, Diner
Machete Gijón, Wine Bar
Machete Gijón, Beer restaurants
Curry Leaf,Indian
Curry Leaf, Asian
Curry Leaf, Balti
La Carpinteria,Mediterranean
La Carpinteria, European
La Carpinteria, Spanish
O Porton,Seafood
O Porton, Healthy
Restaurante El Corralito,Spanish
Restaurante El Corralito, Mediterranean
Restaurante El Corralito, Healthy
Valdevez,Mediterranean
Valdevez, European
Valdevez, Spanish
Valdevez, Deli
Pizzeria Avanti Benidorm,Italian
Pizzeria Avanti Benidorm, Pizza
Pizzeria Avanti Benidorm, Mediterranean
Pizzeria Avanti Benidorm, European
Pizzeria Avanti Benidorm, Tuscan
Pizzeria Avanti Benidorm, Sicilian
Pizzeria Avanti Benidorm, Central-Italian
Pizzeria Avanti Benidorm, Southern-Italian
D-VORA Restaurante ( Dvora ),Mediterranean
D-VORA Restaurante ( Dvora ), European
D-VORA Restaurante ( Dvora ), Spanish
D-VORA Restaurante ( Dvora ), Contemporary
D-VORA Restaurante ( Dvora ), Fusion
D-VORA Restaurante ( Dvora ), Healthy
Restaurante Casa Toni,Mediterranean
Restaurante Casa Toni, European
Restaurante Casa Toni, Spanish
Jarrow Lad,Bar
Jarrow Lad, British
Jarrow Lad, Pub
Jarrow Lad, Cafe
Jarrow Lad, European
Gusto Benidorm,Steakhouse
Gusto Benidorm, Mediterranean
Gusto Benidorm, European
Gusto Benidorm, Grill
La Cacharreria,Mediterranean
La Cacharreria, Spanish
Farragua Restaurante,Mediterranean
Farragua Restaurante, Spanish
Farragua Restaurante, Healthy
Farragua Restaurante, Contemporary
Bistro 21,International
