Business Name,Average rating,Number of reviews,Rating Label
La Hacienda De Machado,4.5,1078,Excellent
La Cava Aragonesa,4.0,2267,Excellent
Zebu Centro,5.0,126,Excellent
El Juliana,4.0,142,Excellent
Rokuseki,4.5,222,Excellent
Os Padróns,5.0,99,Excellent
Epoca Restaurante Peruano Fusion,4.5,541,Excellent
Morrofino Taberna,4.5,170,Excellent
Maruja Limon,4.5,695,Excellent
Casa Vella,4.5,883,Excellent
Asador Soriano,4.5,614,Excellent
MalaSangre Food & Club,4.5,279,Excellent
Burrito's,4.5,245,Excellent
Mijo Minibar,4.5,284,Excellent
Kero Cocina Peruana,4.5,338,Excellent
Ians' Restaurant,5.0,705,Excellent
Tepuy Burger,5.0,295,Excellent
ReFuel Bar & Restaurant,5.0,998,Excellent
Locanda Pau Modern Italian Restaurant,5.0,106,Excellent
Paneil's,4.5,1811,Excellent
Sherpa Restaurante Asiatico,5.0,415,Excellent
The Vagabond,5.0,1701,Excellent
Paradiso,4.5,1188,Excellent
Amigos Restaurant and Roof Terrace,5.0,2465,Excellent
Nepali Tandoori Restaurant,5.0,819,Excellent
La Tana,5.0,77,Excellent
Localolita Street Food,4.5,342,Excellent
Machete Gijón,4.0,14,Excellent
Curry Leaf,4.5,543,Excellent
La Carpinteria,4.5,472,Excellent
O Porton,4.5,1210,Excellent
Restaurante El Corralito,4.5,112,Excellent
Valdevez,4.5,281,Excellent
Pizzeria Avanti Benidorm,4.5,512,Excellent
D-VORA Restaurante ( Dvora ),4.5,965,Excellent
Restaurante Casa Toni,4.5,390,Excellent
Jarrow Lad,4.5,545,Excellent
Gusto Benidorm,4.5,367,Excellent
La Cacharreria,4.5,208,Excellent
Farragua Restaurante,5.0,223,Excellent
Bistro 21,4.5,213,Excellent
Serendipia,4.5,319,Excellent
Sidreria Parrilla La Costa,4.5,678,Excellent
Las Calacas,4.5,477,Excellent
Karan Restaurant,4.5,333,Excellent
La Cesteria,4.5,124,Excellent
As de Picas,4.5,766,Excellent
Restaurante El Cencerro,4.5,425,Excellent
Padrino,4.5,866,Excellent
Restaurante Auga,4.5,1125,Excellent
El Recetario de Álex Sampedro,4.5,279,Excellent
La Salgar,4.5,551,Excellent
Bombay Beach Indian Tandoori,5.0,118,Excellent
Ricos restaurant,5.0,883,Excellent
Smile Italian Restaurant&Cafe,5.0,402,Excellent
Sal fina,5.0,741,Excellent
Little India,5.0,1802,Excellent
Mirchis Tandoori,5.0,140,Excellent
Bbq Spice indian tandoori,5.0,1234,Excellent
El Horno De Neptuno,5.0,339,Excellent
"Zoco, Arabic New Concept",5.0,119,Excellent
Delhi Darbar,5.0,2469,Excellent
'ARDI,5.0,996,Excellent
